program;protocol;partysize;input_size;runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec;multTripPresetup;multTripSetup;sharedPowerPresetup;sharedPowerSetup;sharedBitPresetup;sharedBitSetup;baseOT;otExtension;kk13OtExtension;preprocessingTime;gatesSetup;gatesOnline
multiplication;arithmetic_gmw;4;1000000;15724.065;24.40;21929;183;621.829;621.829;514;514;5553.781;2764.059;0.000;0.000;0.000;0.000;0.000;Setup;Extension;15680.072;0.005;33.422
multiplication;arithmetic_gmw;4;1000000;16445.750;25.17;21868;173;621.829;621.829;514;514;5919.789;2541.533;0.000;0.000;0.000;0.000;0.000;Setup;Extension;15135.781;0.005;1298.256
multiplication;arithmetic_gmw;4;1000000;15385.497;24.14;21930;172;621.829;621.829;514;514;5612.044;2429.122;0.000;0.000;0.000;0.000;0.000;Setup;Extension;14507.561;0.005;866.231
multiplication;arithmetic_gmw;4;1000000;15817.030;24.59;21929;182;621.829;621.829;514;514;5473.647;2511.513;0.000;0.000;0.000;0.000;0.000;Setup;Extension;15650.948;0.004;154.627
multiplication;arithmetic_gmw;4;1000000;15208.667;24.30;21866;174;621.829;621.829;514;514;5590.093;2444.594;0.000;0.000;0.000;0.000;0.000;Setup;Extension;14850.181;0.005;349.938
multiplication;arithmetic_gmw;4;1000000;15822.109;24.08;21920;175;621.829;621.829;514;514;6148.062;2658.647;0.000;0.000;0.000;0.000;0.000;Setup;Extension;15012.495;0.003;795.586
multiplication;arithmetic_gmw;4;1000000;16312.224;25.24;21868;180;621.829;621.829;514;514;5505.169;3114.177;0.000;0.000;0.000;0.000;0.000;Setup;Extension;16288.124;0.005;17.805
multiplication;arithmetic_gmw;4;1000000;15674.477;24.73;21867;171;621.829;621.829;514;514;6119.515;2529.835;0.000;0.000;0.000;0.000;0.000;Setup;Extension;14796.734;0.005;869.881
multiplication;arithmetic_gmw;4;1000000;15598.731;24.72;21868;178;621.829;621.829;514;514;5511.820;2648.267;0.000;0.000;0.000;0.000;0.000;Setup;Extension;15404.648;0.005;185.278
multiplication;arithmetic_gmw;4;1000000;15883.640;24.94;21869;181;621.829;621.829;514;514;6075.663;2427.621;0.000;0.000;0.000;0.000;0.000;Setup;Extension;15799.989;0.004;72.918
