program;partysize;input_size;runtime_internal(s);Bytes Send;runtime_external(s);peakRAM(MiB);System Time(s)
Benchmarks/BitAND;4;10000;0:00:17.282;1529864;17.61;486;4.39
Benchmarks/BitAND;4;10000;0:00:17.531;1529864;18.10;472;4.11
Benchmarks/BitAND;4;10000;0:00:16.963;1529864;17.66;494;4.32
Benchmarks/BitAND;4;10000;0:00:16.985;1529864;17.18;505;4.21
Benchmarks/BitAND;4;10000;0:00:16.784;1529864;17.14;488;4.31
Benchmarks/BitAND;4;10000;0:00:17.436;1529864;17.65;436;4.28
Benchmarks/BitAND;4;10000;0:00:17.539;1529864;17.92;463;3.74
Benchmarks/BitAND;4;10000;0:00:17.327;1529864;17.69;472;3.86
Benchmarks/BitAND;4;10000;0:00:17.649;1529864;17.91;413;3.68
Benchmarks/BitAND;4;10000;0:00:16.806;1529864;17.29;500;4.10
